account_id,customer_id,account_type,branch_id,open_date,currency,status,current_balance,avg_monthly_balance,linked_accounts
ACC-000001,CUST-000001,Business,BR-000134,2022-06-27,USD,Active,1785452.549174145,1870295.86,ACC-000002;ACC-000003;ACC-000004;ACC-000005
ACC-000002,CUST-000001,Current,BR-000134,2023-02-09,INR,Active,500156.1562216174,631012.31,ACC-000001;ACC-000003;ACC-000004;ACC-000005
ACC-000003,CUST-000001,Current,BR-000134,2023-06-24,USD,Active,503341.684087062,660031.18,ACC-000001;ACC-000002;ACC-000004;ACC-000005
ACC-000004,CUST-000001,Business,BR-000134,2024-03-14,INR,Active,196210.26178102195,137626.82,ACC-000001;ACC-000002;ACC-000003;ACC-000005
ACC-000005,CUST-000001,Business,BR-000134,2024-02-17,USD,Active,1217821.2450691417,1486173.36,ACC-000001;ACC-000002;ACC-000003;ACC-000004
ACC-000006,CUST-000002,Current,BR-000046,2022-11-29,INR,Active,0.02425782384067672,12921.36,
ACC-000007,CUST-000003,Savings,BR-000163,2024-09-13,GBP,Active,3.461805068360504,33953.38,ACC-000008
ACC-000008,CUST-000003,Savings,BR-000163,2024-08-02,AED,Active,154946.15196244078,156102.77,ACC-000007
ACC-000009,CUST-000004,Current,BR-000108,2024-10-25,EUR,Active,9458.762503562912,17317.23,ACC-000010;ACC-000011
ACC-000010,CUST-000004,Savings,BR-000108,2024-10-05,EUR,Active,2.211055751765583,1607.93,ACC-000009;ACC-000011
ACC-000011,CUST-000004,Savings,BR-000108,2024-08-23,USD,Active,8338.770616786958,13367.31,ACC-000009;ACC-000010
ACC-000012,CUST-000005,Current,BR-000062,2023-10-03,USD,Active,154.31584916979028,19972.8,
ACC-000013,CUST-000006,Savings,BR-000093,2021-08-14,USD,Active,120.45588484904303,25233.61,ACC-000014
ACC-000014,CUST-000006,Savings,BR-000093,2024-04-11,INR,Active,0.026553067659670627,15184.59,ACC-000013
ACC-000015,CUST-000007,Current,BR-000078,2024-08-12,INR,Active,1829.1673209168089,10357.74,
ACC-000016,CUST-000008,Current,BR-000026,2024-11-06,GBP,Active,51482.71677491213,71301.15,ACC-000017
ACC-000017,CUST-000008,Savings,BR-000026,2024-11-08,GBP,Active,30246.220884167673,62080.31,ACC-000016
ACC-000018,CUST-000009,Savings,BR-000143,2023-06-01,EUR,Active,10.258518903633444,47634.61,
ACC-000019,CUST-000010,Savings,BR-000113,2024-11-17,INR,Active,0.00013291432036833162,10099.31,
ACC-000020,CUST-000011,Current,BR-000110,2024-07-02,INR,Active,237796.08589977433,222316.06,
ACC-000021,CUST-000012,Savings,BR-000069,2019-12-19,INR,Active,22365.978544487472,34882.28,ACC-000022
ACC-000022,CUST-000012,Current,BR-000069,2020-10-16,INR,Active,117.34717484365592,31306.21,ACC-000021
ACC-000023,CUST-000013,Savings,BR-000123,2022-08-14,INR,Active,18671.552315217974,8531.95,ACC-000024
ACC-000024,CUST-000013,Current,BR-000123,2023-07-31,INR,Active,15722.776923062207,32306.92,ACC-000023
ACC-000025,CUST-000014,Savings,BR-000092,2023-11-28,INR,Active,3867.2374181237137,25858.98,ACC-000026
ACC-000026,CUST-000014,Savings,BR-000092,2023-11-26,INR,Active,2173.426563303572,5462.32,ACC-000025
ACC-000027,CUST-000015,Savings,BR-000028,2020-05-18,INR,Active,3.8101107587287473,2642.21,ACC-000028;ACC-000029
ACC-000028,CUST-000015,Savings,BR-000028,2019-12-03,INR,Dormant,157124.12348908474,157124.12,ACC-000027;ACC-000029
ACC-000029,CUST-000015,Savings,BR-000028,2019-10-09,GBP,Active,6754.490665586681,17033.68,ACC-000027;ACC-000028
ACC-000030,CUST-000016,Savings,BR-000040,2022-12-27,INR,Active,1187.0061755994313,13002.34,ACC-000031
ACC-000031,CUST-000016,Savings,BR-000040,2023-08-19,GBP,Active,7509.771699655703,34336.27,ACC-000030
ACC-000032,CUST-000017,Savings,BR-000002,2024-04-03,INR,Active,7690.659574243076,4404.31,ACC-000033;ACC-000034
ACC-000033,CUST-000017,Savings,BR-000002,2023-01-30,INR,Active,1.2063064327944701,486.17,ACC-000032;ACC-000034
ACC-000034,CUST-000017,Savings,BR-000002,2024-10-28,INR,Active,2.1769958437323638,542.36,ACC-000032;ACC-000033
ACC-000035,CUST-000018,Current,BR-000125,2024-08-07,INR,Active,250.5561640204225,9966.08,ACC-000036
ACC-000036,CUST-000018,Current,BR-000125,2024-06-09,USD,Active,58760.55949811698,69083.91,ACC-000035
ACC-000037,CUST-000019,Savings,BR-000155,2022-10-02,AED,Active,4.8312982822066015,1241.47,ACC-000038
ACC-000038,CUST-000019,Savings,BR-000155,2022-03-30,USD,Active,22.08175292090641,1845.3,ACC-000037
ACC-000039,CUST-000020,Current,BR-000106,2023-11-23,INR,Active,1133771.0997495288,1192953.98,ACC-000040;ACC-000041;ACC-000042;ACC-000043
ACC-000040,CUST-000020,Business,BR-000106,2023-02-07,GBP,Active,242478.3111663631,478093.07,ACC-000039;ACC-000041;ACC-000042;ACC-000043
ACC-000041,CUST-000020,Business,BR-000106,2022-11-18,INR,Active,54.58456945316533,50151.24,ACC-000039;ACC-000040;ACC-000042;ACC-000043
ACC-000042,CUST-000020,Business,BR-000106,2021-12-30,INR,Active,1111097.1574898371,1382741.21,ACC-000039;ACC-000040;ACC-000041;ACC-000043
ACC-000043,CUST-000020,Current,BR-000106,2021-09-22,INR,Active,453959.1368558968,529608.6,ACC-000039;ACC-000040;ACC-000041;ACC-000042
ACC-000044,CUST-000021,Current,BR-000075,2019-05-25,INR,Active,4000.7947363872518,24005.99,
ACC-000045,CUST-000022,Current,BR-000117,2023-09-21,INR,Active,14.44466790155698,5848.94,
